iter	RMSE
0	424236.8639
1	406971.648
2	393271.9996
3	380166.0398
4	368980.8887
5	359033.9942
6	350285.5271
7	342176.6748
8	335186.9429
9	329108.2727
10	323660.6519
11	319263.737
12	315053.6636
13	311089.9846
14	306691.5366
15	303566.3709
16	300541.9927
17	297949.7899
18	295251.3476
19	292911.431
20	290714.745
21	288680.8312
22	286788.9755
23	284804.5504
24	282646.1011
25	280871.6072
26	279414.3827
27	278056.8923
28	276834.1209
29	275418.1734
30	273677.6016
31	272437.0939
32	270897.1928
33	269306.5
34	268153.3129
35	267022.3204
36	266231.0637
37	264853.2551
38	264204.9427
39	263012.1748
40	262106.5956
41	260988.7888
42	260207.0837
43	259516.8906
44	258502.2768
45	257479.2513
46	256375.1291
47	255305.4521
48	254466.9745
49	253524.6249
50	252433.1136
51	251868.5924
52	251239.0211
53	250640.4771
54	250134.7402
55	249672.7179
56	248921.9437
57	248157.168
58	247734.6991
59	247343.2472
60	246611.5932
61	245963.014
62	245050.8105
63	244570.6243
64	244257.9434
65	243699.851
66	243031.9481
67	242423.5368
68	241774.678
69	241305.1437
70	240770.1011
71	239637.5753
72	239320.9728
73	238806.2934
74	238165.766
75	237834.8572
76	237590.493
77	237020.9487
78	236565.0912
79	236116.5514
80	235587.2576
81	235155.5489
82	234602.4092
83	233962.1252
84	233634.5692
85	233026.1479
86	232702.3272
87	232138.6808
88	231597.3891
89	231033.9032
90	230675.9432
91	230365.4192
92	230057.3802
93	229824.9804
94	229348.5715
95	229076.5742
96	228630.521
97	228312.3518
98	227932.2983
99	227466.2383
100	227135.4797
101	226847.4776
102	226534.6714
103	226116.7306
104	225760.3905
105	225555.3878
106	225364.6018
107	224996.2047
108	224485.9829
109	224083.2244
110	223728.412
111	223418.0596
112	222937.3437
113	222716.6974
114	222230.592
115	221834.4192
116	221521.3427
117	221209.4024
118	220999.3413
119	220701.238
120	220400.9116
121	220114.6257
122	219798.3275
123	219358.1138
124	219080.8424
125	218811.1964
126	218560.4049
127	218355.7936
128	218061.4292
129	217802.9296
130	217421.9826
131	217149.2255
132	216808.6028
133	216501.5122
134	216283.4813
135	216044.7111
136	215882.8215
137	215528.631
138	214932.0914
139	214692.3791
140	214523.008
141	214290.0038
142	213691.2708
143	213457.5032
144	213226.1743
145	213002.4794
146	212833.1652
147	212651.1962
148	212334.4614
149	211869.065
150	211564.0666
151	211166.8727
152	210257.2216
153	210093.0124
154	209817.379
155	209506.5403
156	209341.9603
157	209089.0145
158	208949.2286
159	208588.6313
160	208350.8316
161	208221.1193
162	208043.2037
163	207921.3755
164	207799.5262
165	207561.6476
166	207289.8486
167	207038.1176
168	206167.7369
169	205912.3293
170	205483.9921
171	205265.651
172	204301.1197
173	204062.6226
174	203861.8251
175	203638.9674
176	203480.0582
177	203284.6162
178	202340.01
179	202212.9031
180	202078.5983
181	201880.7818
182	201773.7254
183	201565.1661
184	201386.9191
185	201174.8217
186	201033.4853
187	200916.1611
188	200488.2933
189	200313.912
190	200146.2195
191	200027.1687
192	199982.0835
193	199815.4123
194	199652.7425
195	199535.9837
196	199391.8745
197	199248.0609
198	199038.5504
199	198947.6749
200	198861.4917
201	198670.549
