iter	Passed	Remaining
0	196	196685
1	224	112010
2	258	85887
3	291	72469
4	322	64206
5	354	58798
6	386	54777
7	418	51901
8	448	49396
9	483	47860
10	513	46176
11	548	45128
12	582	44209
13	614	43299
14	647	42503
15	677	41668
16	709	41016
17	741	40429
18	770	39798
19	797	39077
20	829	38658
21	859	38207
22	890	37820
23	921	37462
24	951	37117
25	979	36689
26	1010	36419
27	1039	36083
28	1073	35950
29	1104	35725
30	1137	35559
31	1169	35373
32	1206	35349
33	1253	35614
34	1285	35437
35	1319	35338
36	1353	35224
37	1385	35069
38	1415	34877
39	1448	34770
40	1488	34817
41	1519	34660
42	1550	34505
43	1584	34424
44	1613	34250
45	1654	34314
46	1697	34420
47	1737	34465
48	1781	34573
49	1816	34514
50	1855	34530
51	1896	34576
52	1952	34882
53	1992	34911
54	2035	34969
55	2065	34819
56	2105	34826
57	2142	34802
58	2187	34889
59	2223	34836
60	2261	34819
61	2305	34874
62	2348	34929
63	2391	34978
64	2430	34966
65	2467	34921
66	2501	34827
67	2534	34743
68	2568	34657
69	2604	34597
70	2644	34603
71	2680	34554
72	2716	34494
73	2749	34403
74	2781	34310
75	2815	34231
76	2847	34134
77	2882	34070
78	2915	33985
79	2949	33919
80	2991	33940
81	3027	33897
82	3059	33805
83	3093	33737
84	3127	33666
85	3160	33589
86	3197	33560
87	3232	33497
88	3264	33412
89	3299	33358
90	3331	33278
91	3362	33190
92	3395	33112
93	3429	33053
94	3465	33014
95	3498	32940
96	3531	32877
97	3566	32825
98	3603	32799
99	3633	32705
100	3670	32675
101	3702	32598
102	3735	32533
103	3766	32446
104	3797	32366
105	3825	32263
106	3854	32168
107	3886	32101
108	3920	32046
109	3951	31967
110	3981	31883
111	4015	31838
112	4047	31772
113	4079	31709
114	4114	31662
115	4145	31594
116	4177	31528
117	4211	31478
118	4241	31397
119	4270	31315
120	4301	31248
121	4330	31167
122	4361	31100
123	4396	31060
124	4429	31009
125	4460	30940
126	4497	30918
127	4533	30881
128	4568	30844
129	4600	30789
130	4635	30751
131	4670	30713
132	4710	30706
133	4744	30660
134	4778	30616
135	4863	30896
136	4944	31147
137	5043	31501
138	5116	31694
139	5171	31765
140	5203	31701
141	5237	31646
142	5274	31611
143	5308	31558
144	5343	31506
145	5378	31459
146	5410	31398
147	5441	31327
148	5476	31280
149	5511	31232
150	5551	31210
151	5584	31154
152	5615	31085
153	5649	31034
154	5680	30968
155	5712	30907
156	5742	30831
157	5777	30787
158	5814	30753
159	5849	30708
160	5883	30657
161	5915	30599
162	5949	30549
163	5982	30494
164	6015	30439
165	6051	30401
166	6085	30356
167	6124	30332
168	6157	30277
169	6190	30223
170	6227	30191
171	6260	30138
172	6297	30106
173	6334	30071
174	6372	30041
175	6409	30008
176	6444	29967
177	6479	29921
178	6518	29898
179	6554	29857
180	6590	29820
181	6625	29779
182	6658	29726
183	6695	29693
184	6730	29648
185	6762	29597
186	6800	29564
187	6832	29511
188	6871	29486
189	6909	29454
190	6941	29402
191	6975	29355
192	7010	29313
193	7045	29271
194	7080	29230
195	7115	29188
196	7151	29148
197	7183	29094
198	7217	29052
199	7252	29010
200	7289	28978
201	7325	28940
202	7362	28904
203	7399	28870
204	7434	28831
205	7527	29012
206	7616	29177
207	7656	29154
208	7690	29105
209	7726	29067
210	7768	29048
211	7804	29007
212	7839	28965
213	7874	28922
214	7909	28877
215	7945	28839
216	7982	28804
217	8019	28767
218	8054	28722
219	8091	28687
220	8128	28650
221	8164	28612
222	8201	28575
223	8235	28531
224	8269	28484
225	8305	28444
226	8342	28407
227	8377	28366
228	8414	28329
229	8454	28304
230	8486	28253
231	8522	28213
232	8556	28167
233	8594	28134
234	8631	28099
235	8668	28061
236	8701	28014
237	8732	27959
238	8763	27904
239	8799	27864
240	8832	27816
241	8866	27772
242	8899	27724
243	8931	27674
244	8969	27641
245	9005	27603
246	9041	27564
247	9079	27530
248	9113	27487
249	9149	27449
250	9184	27406
251	9219	27365
252	9258	27335
253	9290	27285
254	9327	27251
255	9364	27215
256	9400	27177
257	9436	27140
258	9474	27106
259	9508	27063
260	9545	27025
261	9581	26988
262	9619	26956
263	9655	26919
264	9686	26865
265	9721	26826
266	9756	26785
267	9792	26745
268	9827	26705
269	9860	26658
270	9894	26617
271	9929	26576
272	9967	26544
273	10005	26511
274	10039	26468
275	10071	26419
276	10110	26390
277	10147	26353
278	10179	26306
279	10213	26262
280	10248	26222
281	10283	26182
282	10318	26143
283	10356	26110
284	10392	26072
285	10427	26031
286	10463	25994
287	10502	25964
288	10537	25923
289	10575	25891
290	10609	25849
291	10641	25803
292	10679	25768
293	10711	25721
294	10744	25678
295	10782	25644
296	10819	25609
297	10856	25573
298	10888	25528
299	10922	25485
300	10956	25444
301	10994	25412
302	11032	25379
303	11067	25338
304	11103	25300
305	11138	25262
306	11173	25223
307	11211	25188
308	11246	25150
309	11281	25110
310	11417	25294
311	11477	25308
312	11512	25268
313	11547	25227
314	11581	25186
315	11616	25144
316	11652	25106
317	11683	25056
318	11719	25017
319	11750	24970
320	11788	24936
321	11830	24909
322	11864	24867
323	11900	24829
324	11934	24788
325	11972	24752
326	12006	24711
327	12042	24673
328	12076	24630
329	12113	24594
330	12147	24551
331	12183	24513
332	12223	24483
333	12257	24441
334	12294	24405
335	12330	24366
336	12369	24335
337	12402	24291
338	12437	24251
339	12473	24212
340	12507	24170
341	12542	24131
342	12575	24088
343	12613	24053
344	12646	24010
345	12679	23967
346	12713	23925
347	12745	23880
348	12781	23841
349	12815	23799
350	12848	23756
351	12881	23714
352	12916	23674
353	12951	23635
354	12980	23584
355	13016	23547
356	13053	23510
357	13088	23471
358	13122	23431
359	13158	23392
360	13194	23354
361	13230	23317
362	13265	23278
363	13301	23241
364	13339	23207
365	13375	23170
366	13410	23130
367	13444	23089
368	13480	23052
369	13514	23011
370	13550	22973
371	13586	22936
372	13620	22895
373	13652	22852
374	13684	22807
375	13716	22763
376	13753	22728
377	13788	22689
378	13823	22650
379	13859	22612
380	13897	22579
381	13934	22543
382	13968	22502
383	14000	22459
384	14038	22425
385	14075	22389
386	14109	22349
387	14145	22311
388	14182	22277
389	14218	22238
390	14254	22201
391	14291	22165
392	14347	22160
393	14404	22155
394	14451	22134
395	14484	22093
396	14518	22051
397	14553	22012
398	14588	21973
399	14624	21936
400	14664	21904
401	14699	21866
402	14732	21824
403	14771	21792
404	14811	21760
405	14848	21724
406	14892	21698
407	14930	21663
408	14962	21621
409	15000	21586
410	15034	21546
411	15069	21507
412	15103	21467
413	15136	21424
414	15170	21384
415	15205	21346
416	15238	21304
417	15273	21265
418	15309	21229
419	15345	21190
420	15379	21151
421	15410	21107
422	15446	21069
423	15484	21035
424	15519	20997
425	15549	20951
426	15586	20916
427	15628	20886
428	15681	20871
429	15742	20868
430	15804	20864
431	15840	20827
432	15883	20798
433	15919	20761
434	15956	20724
435	15993	20688
436	16027	20648
437	16063	20611
438	16098	20572
439	16133	20533
440	16172	20499
441	16207	20461
442	16243	20423
443	16281	20388
444	16316	20350
445	16354	20314
446	16387	20273
447	16421	20233
448	16458	20197
449	16499	20165
450	16531	20123
451	16567	20086
452	16604	20050
453	16639	20011
454	16677	19976
455	16712	19937
456	16747	19899
457	16784	19862
458	16818	19822
459	16854	19785
460	16885	19742
461	16918	19701
462	16953	19662
463	16991	19628
464	17027	19590
465	17061	19551
466	17095	19511
467	17130	19472
468	17167	19437
469	17202	19398
470	17251	19376
471	17297	19349
472	17335	19314
473	17369	19274
474	17409	19241
475	17493	19257
476	17536	19227
477	17578	19196
478	17697	19248
479	17796	19279
480	17833	19242
481	17936	19276
482	17984	19250
483	18024	19215
484	18063	19181
485	18100	19143
486	18143	19111
487	18190	19084
488	18238	19058
489	18280	19026
490	18362	19035
491	18452	19052
492	18493	19018
